GOSWAMI, JAIDEVA
FOREMAN, JOHN
HAWKING, STEPHEN
DUBNER, STEPHEN
SAID, EDWARD
VAPNIK, VLADIMIR
MENON, V P
MLODINOW, LEONARD
SHIH, FRANK
KONNIKOVA, MARIA
SEBASTIAN GUTIERREZ
VONNEGUT, KURT
VILLANI, CEDRIC
SUSSMAN, GERALD
ERALY, ABRAHAM
KAFKA, FRANK
PRATT, JOHN
NISBET, ROBERT
WELLS, H. G.
HEISENBERG, WERNER
ORAM, ANDY
TAO, TERENCE
CONWAY, DREW
SILVER, NATE
MCKINNEY, WES
CORMEN, THOMAS
DEB, SIDDHARTHA
CAMUS, ALBERT
DOYLE, ARTHUR CONAN
DOYLE, ARTHUR CONAN
SMITH, ADAM
FOLLETT, KEN
HITLER, ADOLF
CAPRA, FRITJOF
FEYNMAN, RICHARD
HEMINGWAY, ERNEST
FORSYTH, FREDERICK
ARCHER, JEFFERY
PAUSCH, RANDY
RAND, AYN
CRICHTON, MICHAEL
STEINBECK, JOHN
POE, EDGAR ALLEN
DUBNER, STEPHEN
CAPRA, FRITJOF
DURANT, WILL
DESHPANDE, P L
STEINBECK, JOHN
STEINBECK, JOHN
STEINBECK, JOHN
GRISHAM, JOHN
NAIPAUL, V. S.
HELLER, JOSEPH
BBC
DYLAN, BOB
GUPTA, MADAN
STONIER, ALFRED
GREENE, W. H.
BRADSKY, GARY
TANENBAUM, ANDREW
FORSYTH, DAVID
TAUB, SCHILLING
KANETKAR, YASHWANT
STROUD, JONATHAN
DOSTOEVSKY, FYODOR
BROWN, DAN
SEN, AMARTYA
GHOSH, AMITAV
SEN, AMARTYA
HANSBERRY, LORRAINE
WOODWARD, BOB
ARCHER, JEFFERY
NAYAR, KULDIP
DESHPANDE, SUNITA
DALRYMPLE, WILLIAM
VARIOUS
DESHPANDE, P L
DESHPANDE, P L
DESHPANDE, P L
GARG, SANJAY

KALE, V P
THAROOR, SHASHI

THAROOR, SHASHI
LAPIERRE, DOMINIQUE
LAPIERRE, DOMINIQUE
LAPIERRE, DOMINIQUE
STEINBECK, JOHN
RUSSELL, BERTRAND
HARRIS, SAM
THAROOR, SHASHI
GARDNER, EARLE STANLEY
HAWKING, STEPHEN
DRUCKER, PETER
BODANIS, DAVID
HUGO, VICTOR
STEINBECK, JOHN
DRUCKER, PETER
GORDON, RICHARD
ORWELL, GEORGE
SEN, AMARTYA
DALRYMPLE, WILLIAM

IACOCA, LEE
MAUGHAM, WILLIAM S
FORSYTH, FREDERICK
MAUGHAM, WILLIAM S
PIRSIG, ROBERT
FISK, ROBERT
RAND, AYN
ACZEL, AMIR
RUSSELL, BERTRAND

SEN, AMARTYA
HUNTINGTON, SAMUEL
CAPRA, FRITJOF
BACH, RICHARD

BRAITHWAITE
NAIPAUL, V S
NEHRU, JAWAHARLAL
DESHPANDE, P L
RUSSELL, BERTRAND
FORSYTH, FREDERICK
WOODWARD, BOB
DESHPANDE, P L
DURRELL, GERALD
MAUGHAM, WILLIAM S

WELLS, H G
MAUGHAM, WILLIAM S
GORDON, RICHARD
SINGH, SIMON
DUDA, HART
FRIEDMAN, THOMAS
SINGH, SIMON
FISK, ROBERT





DEVLIN, KEITH







STEINBECK, JOHN
GLEICK, JAMES

THOMAS, JOY
RASHID, MUHAMMAD
MOHAN, NED
HAYKIN, SIMON
STEINBECK, JOHN
DESHPANDE, P L
VAPNIK, VLADIMIR
RUTHERFORD, ALEX
RUTHERFORD, ALEX
RUTHERFORD, ALEX
RUTHERFORD, ALEX
RUTHERFORD, ALEX
BAZ-ZOHAR, MICHAEL
CORBETT, JIM
VERNE, JULES
DESHPANDE P L
DESHPANDE P L
DESHPANDE P L
KANETKAR, YASHWANT
RAYMOND, ERIC
FRANCO, SERGIO
DOWNEY, ALLEN
WEST, MORRIS
RAND, AYN
RAND, AYN

JANERT, PHILLIP
SAGAN, CARL
BELL, E T
DAWKINS, RICHARD
RANJAN, SUDHANSHU
KAUTIYLA
PALKHIVALA
PALKHIVALA
SORABJEE
ZAIDI, HUSSAIN
ACKROYD, PETER
DALRYMPLE, WILLIAM
NARIMAN
SASSOON, JEAN
DICKINSON, PETER
BROWN, DAN


MACHIAVELLI
HUXLEY, ALDOUS
ROWLING, J K
LARSSON, STEIG
LARSSON, STEIG
LARSSON, STEIG


TAO, TERENCE
EDDINS, STEVE
ORWELL, GEORGE
DOSTOEVSKY, FYODOR
DICKENS, CHARLES
