Goswami, Jaideva
Foreman, John
Hawking, Stephen
Dubner, Stephen
Said, Edward
Vapnik, Vladimir
Menon, V P
Mlodinow, Leonard
Shih, Frank
Konnikova, Maria
Sebastian Gutierrez
Vonnegut, Kurt
Villani, Cedric
Sussman, Gerald
Eraly, Abraham
Kafka, Frank
Pratt, John
Nisbet, Robert
Wells, H. G.
Heisenberg, Werner
Oram, Andy
Tao, Terence
Conway, Drew
Silver, Nate
McKinney, Wes
Cormen, Thomas
Deb, Siddhartha
Camus, Albert
Doyle, Arthur Conan
Doyle, Arthur Conan
Smith, Adam
Follett, Ken
Hitler, Adolf
Capra, Fritjof
Feynman, Richard
Hemingway, Ernest
Forsyth, Frederick
Archer, Jeffery
Pausch, Randy
Rand, Ayn
Crichton, Michael
Steinbeck, John
Poe, Edgar Allen
Dubner, Stephen
Capra, Fritjof
Durant, Will
Deshpande, P L
Steinbeck, John
Steinbeck, John
Steinbeck, John
Grisham, John
Naipaul, V. S.
Heller, Joseph
BBC
Dylan, Bob
Gupta, Madan
Stonier, Alfred
Greene, W. H.
Bradsky, Gary
Tanenbaum, Andrew
Forsyth, David
Taub, Schilling
Kanetkar, Yashwant
Stroud, Jonathan
Dostoevsky, Fyodor
Brown, Dan
Sen, Amartya
Ghosh, Amitav
Sen, Amartya
Hansberry, Lorraine
Woodward, Bob
Archer, Jeffery
Nayar, Kuldip
Deshpande, Sunita
Dalrymple, William
Various
Deshpande, P L
Deshpande, P L
Deshpande, P L
Garg, Sanjay

Kale, V P
Tharoor, Shashi

Tharoor, Shashi
Lapierre, Dominique
Lapierre, Dominique
Lapierre, Dominique
Steinbeck, John
Russell, Bertrand
Harris, Sam
Tharoor, Shashi
Gardner, Earle Stanley
Hawking, Stephen
Drucker, Peter
Bodanis, David
Hugo, Victor
Steinbeck, John
Drucker, Peter
Gordon, Richard
Orwell, George
Sen, Amartya
Dalrymple, William

Iacoca, Lee
Maugham, William S
Forsyth, Frederick
Maugham, William S
Pirsig, Robert
Fisk, Robert
Rand, Ayn
Aczel, Amir
Russell, Bertrand

Sen, Amartya
Huntington, Samuel
Capra, Fritjof
Bach, Richard

Braithwaite
Naipaul, V S
Nehru, Jawaharlal
Deshpande, P L
Russell, Bertrand
Forsyth, Frederick
Woodward, Bob
Deshpande, P L
Durrell, Gerald
Maugham, William S

Wells, H G
Maugham, William S
Gordon, Richard
Singh, Simon
Duda, Hart
Friedman, Thomas
Singh, Simon
Fisk, Robert





Devlin, Keith







Steinbeck, John
Gleick, James

Thomas, Joy
Rashid, Muhammad
Mohan, Ned
Haykin, Simon
Steinbeck, John
Deshpande, P L
Vapnik, Vladimir
Rutherford, Alex
Rutherford, Alex
Rutherford, Alex
Rutherford, Alex
Rutherford, Alex
Baz-Zohar, Michael
Corbett, Jim
Verne, Jules
Deshpande P L
Deshpande P L
Deshpande P L
Kanetkar, Yashwant
Raymond, Eric
Franco, Sergio
Downey, Allen
West, Morris
Rand, Ayn
Rand, Ayn

Janert, Phillip
Sagan, Carl
Bell, E T
Dawkins, Richard
Ranjan, Sudhanshu
Kautiyla
Palkhivala
Palkhivala
Sorabjee
Zaidi, Hussain
Ackroyd, Peter
Dalrymple, William
Nariman
Sassoon, Jean
Dickinson, Peter
Brown, Dan


Machiavelli
Huxley, Aldous
Rowling, J K
Larsson, Steig
Larsson, Steig
Larsson, Steig


Tao, Terence
Eddins, Steve
Orwell, George
Dostoevsky, Fyodor
Dickens, Charles
